Overall Rank,Artist Name,2015,2016,2017,2018,2019,2020,2021,2022
1,Shinedown,1.0,7.0,4.0,14.0,66.0,23.0,366.0,335.0
2,Eminem,82.0,1.0,5.0,9.0,3.0,2.0,52.0,
3,ONE OK ROCK,12.0,3.0,1.0,3.0,4.0,207.0,240.0,
4,Five Finger Death Punch,333.0,4.0,3.0,2.0,6.0,4.0,100.0,
5,Seether,4.0,6.0,24.0,118.0,34.0,49.0,135.0,
6,Papa Roach,16.0,40.0,2.0,6.0,16.0,69.0,169.0,72.0
7,3 Doors Down,3.0,8.0,50.0,144.0,,642.0,,
8,Stone Sour,11.0,57.0,20.0,12.0,26.0,11.0,7.0,170.0
9,Foo Fighters,5.0,11.0,48.0,92.0,62.0,,14.0,
10,Nickelback,2.0,39.0,47.0,332.0,430.0,,,
11,Zero-Project,,2.0,7.0,129.0,,,434.0,67.0
12,Twenty One Pilots,,194.0,29.0,182.0,1.0,28.0,4.0,172.0
13,Three Days Grace,6.0,43.0,22.0,51.0,270.0,116.0,316.0,
14,Beissoul & Einius,,,,,2.0,6.0,10.0,337.0
15,Gorillaz,,297.0,,1.0,9.0,62.0,19.0,
16,Avenged Sevenfold,54.0,25.0,10.0,11.0,67.0,36.0,92.0,
17,Linkin Park,30.0,15.0,18.0,23.0,81.0,26.0,265.0,
18,RADWIMPS,,14.0,6.0,13.0,43.0,,180.0,
19,L'Arc-en-Ciel,10.0,28.0,147.0,96.0,206.0,,,
20,Slipknot,75.0,17.0,13.0,42.0,105.0,19.0,132.0,113.0
21,Thirty Seconds To Mars,9.0,44.0,51.0,,647.0,481.0,,
22,Disturbed,49.0,10.0,12.0,41.0,50.0,,550.0,
23,Archive,,,,,,1.0,2.0,33.0
24,Green Day,41.0,5.0,,267.0,286.0,48.0,57.0,181.0
25,Trenchcoat,13.0,97.0,21.0,16.0,314.0,628.0,,
26,Staind,8.0,70.0,55.0,,445.0,190.0,,
27,Breaking Benjamin,19.0,79.0,15.0,24.0,442.0,95.0,255.0,
28,Hollywood Undead,18.0,,52.0,8.0,61.0,,739.0,505.0
29,Vitamin String Quartet,7.0,,,,,,,
30,MAN WITH A MISSION,,,23.0,5.0,15.0,,21.0,284.0
31,Blue October,17.0,18.0,,,,392.0,,
32,Billy Talent,24.0,27.0,,53.0,119.0,500.0,326.0,28.0
